date,season,home_team,away_team,home_pts,away_pts,home_win,margin
2026-05-26,2024,MIL,PHI,118,117,1,1
2026-05-26,2024,LAL,PHX,100,95,1,5
2026-05-26,2024,MEM,DEN,104,108,0,4
2026-05-26,2024,CHA,DET,99,111,0,12
2026-05-26,2024,ATL,NYK,120,126,0,6
2026-05-26,2024,CLE,OKC,105,108,0,3
2026-05-26,2024,BOS,MIA,119,111,1,8
2026-05-26,2024,CHI,TOR,104,103,1,1
2026-05-26,2024,SAS,HOU,126,122,1,4
2026-05-26,2024,DAL,BRK,125,120,1,5
2026-05-26,2024,UTA,LAC,120,118,1,2
2026-05-26,2024,POR,ORL,97,102,0,5
2026-05-26,2024,SAC,GSW,114,122,0,8
2026-05-26,2024,DET,CHI,118,102,1,16
2026-05-26,2024,WAS,MEM,113,106,1,7
2026-05-26,2024,MEM,NOP,104,111,0,7
2026-05-26,2024,BRK,CLE,113,114,0,1
2026-05-26,2024,TOR,MIN,97,94,1,3
2026-05-26,2024,MIA,DET,103,102,1,1
2026-05-26,2023,BOS,WAS,112,94,1,18
2026-05-26,2023,CLE,NYK,121,108,1,13
2026-05-26,2023,DET,GSW,128,114,1,14
2026-05-26,2023,SAS,MIN,107,98,1,9
2026-05-26,2023,DAL,ORL,114,105,1,9
2026-05-26,2023,PHX,HOU,124,109,1,15
2026-05-26,2023,LAL,DEN,121,110,1,11
2026-05-26,2023,CHA,SAC,108,115,0,7
2026-05-26,2023,WAS,PHI,111,118,0,7
2026-05-26,2023,UTA,MEM,124,123,1,1
2026-05-26,2023,BRK,IND,116,109,1,7
2026-05-26,2023,MIL,DET,110,108,1,2
2026-05-26,2023,UTA,MEM,121,105,1,16
2026-05-26,2023,LAC,HOU,95,93,1,2
2026-05-26,2024,DEN,LAL,119,107,1,12
2026-05-26,2024,GSW,PHX,104,108,0,4
2026-05-26,2024,ORL,HOU,116,86,1,30
2026-05-26,2024,NYK,BOS,104,108,0,4
2026-05-26,2024,IND,WAS,143,120,1,23
2026-05-26,2024,CHA,ATL,116,110,1,6
2026-05-26,2023,TOR,ATL,139,109,1,30
2026-05-26,2021,DEN,SAC,122,124,0,2
2026-05-26,2021,MIN,DET,111,101,1,10
2026-05-26,2021,MEM,SAS,119,131,0,12
2026-05-26,2018,LAC,PHX,130,88,1,42
2026-05-26,2018,BRK,ATL,116,104,1,12
2026-05-26,2018,OKC,MIN,113,115,0,2
2026-05-26,2018,LAL,NOP,112,119,0,7
2026-05-26,2018,DET,PHI,86,97,0,11
2026-05-26,2018,MIA,ATL,104,93,1,11
2026-05-26,2018,HOU,MEM,90,98,0,8
2026-05-26,2018,MIL,CHA,103,94,1,9
2026-05-26,2018,DAL,GSW,103,133,0,30
2026-05-26,2018,SAS,TOR,101,97,1,4
2026-05-26,2018,DEN,WAS,104,109,0,5
2026-05-26,2018,PHX,SAC,117,115,1,2
2026-05-26,2018,CLE,CHI,119,112,1,7
2026-05-26,2018,ORL,BRK,125,121,1,4
2026-05-26,2018,BOS,NYK,110,89,1,21
2026-05-26,2018,MIN,IND,107,130,0,23
2026-05-26,2018,POR,NOP,103,93,1,10
2026-05-26,2018,LAC,UTA,102,84,1,18
2026-05-26,2018,CHA,DEN,110,93,1,17
2026-05-26,2018,UTA,OKC,96,87,1,9
2026-05-26,2018,DEN,SAC,96,79,1,17
2026-05-26,2018,MIL,POR,113,110,1,3
2026-05-26,2018,NYK,DET,107,111,0,4
2026-05-26,2018,SAC,HOU,100,105,0,5
2026-05-26,2018,TOR,CHI,117,100,1,17
2026-05-26,2018,OKC,NYK,105,84,1,21
2026-05-26,2018,LAL,LAC,92,108,0,16
2026-05-26,2018,CHA,ATL,109,91,1,18
2026-05-26,2018,IND,POR,96,114,0,18
2026-05-26,2018,MIL,CLE,97,116,0,19
2026-05-26,2018,PHI,BOS,92,102,0,10
2026-05-26,2018,WAS,DET,115,111,1,4
2026-05-26,2018,DET,MIN,122,101,1,21
2026-05-26,2018,BRK,ORL,126,121,1,5
2026-05-26,2018,DAL,SAC,88,93,0,5
2026-05-26,2018,NOP,GSW,120,128,0,8
2026-05-26,2018,PHX,LAL,130,132,0,2
2026-05-26,2018,TOR,PHI,128,94,1,34
2026-05-26,2018,CHI,SAS,77,87,0,10
2026-05-26,2018,CLE,ORL,93,114,0,21
2026-05-26,2018,HOU,DAL,107,91,1,16
2026-05-26,2018,MEM,GSW,111,101,1,10
2026-05-26,2018,MIA,IND,112,108,1,4
2026-05-26,2018,MIN,UTA,100,97,1,3
2026-05-26,2018,PHX,POR,76,124,0,48
2026-05-26,2018,PHI,HOU,104,105,0,1
2026-05-26,2018,MIA,SAS,100,117,0,17
2026-05-26,2018,LAC,DET,87,95,0,8
2026-05-26,2018,ATL,MIL,106,117,0,11
2026-05-26,2018,IND,SAS,97,94,1,3
2026-05-26,2018,BRK,DEN,111,124,0,13
2026-05-26,2018,CHA,ORL,120,113,1,7
2026-05-26,2018,SAC,WAS,83,110,0,27
2026-05-26,2018,CLE,NYK,95,114,0,19
2026-05-26,2018,GSW,DET,107,115,0,8
2026-05-26,2018,BOS,SAS,108,94,1,14
2026-05-26,2018,MIA,MIN,122,125,0,3
2026-05-26,2018,NYK,DEN,116,110,1,6
2026-05-26,2018,HOU,PHI,107,115,0,8
2026-05-26,2018,MEM,CHA,99,104,0,5
2026-05-26,2018,NOP,ORL,99,115,0,16
2026-05-26,2018,UTA,DAL,104,89,1,15
2026-05-26,2018,POR,TOR,85,99,0,14
2026-05-26,2018,LAC,GSW,113,141,0,28
2026-05-26,2018,IND,SAC,101,83,1,18
2026-05-26,2018,BRK,PHX,114,122,0,8
2026-05-26,2018,POR,PHX,114,107,1,7
2026-05-26,2018,UTA,LAL,96,81,1,15
2026-05-26,2018,DAL,PHI,110,112,0,2
2026-05-26,2018,MIA,BOS,90,96,0,6
2026-05-26,2018,OKC,IND,114,96,1,18
2026-05-26,2018,DAL,MEM,103,94,1,9
2026-05-26,2018,PHX,UTA,97,88,1,9
2026-05-26,2018,GSW,TOR,117,112,1,5
2026-05-26,2018,LAL,WAS,102,99,1,3
2026-05-26,2018,CHI,ATL,91,86,1,5
2026-05-26,2018,MEM,DAL,96,91,1,5
